"Scientificname","9113_sum","9116_sum","9121_sum","NA_sum","9113_mean","9116_mean","9121_mean","NA_mean"
"Acanthostracion quadricornis",77,134,1,67,0.06,0.109,0.022,0.033
"Achirus lineatus",327,181,10,436,0.256,0.147,0.222,0.216
"Achiridae spp.",1,0,0,0,0.001,0,0,0
"Fundulus xenicus",1,0,2,1,0.001,0,0.044,0
"Aetobatus narinari",1,0,0,0,0.001,0,0,0
"Albula spp.",1,1,0,2,0.001,0.001,0,0.001
"Aluterus schoepfii",5,8,0,5,0.004,0.007,0,0.002
"Anarchopterus criniger",1,3,0,1,0.001,0.002,0,0
"Anchoa cubana",1781,218,0,11344,1.392,0.177,0,5.61
"Anchoa hepsetus",1733,870,0,5036,1.355,0.708,0,2.491
"Anchoa lyolepis",8,0,0,0,0.006,0,0,0
"Anchoa mitchilli",103276,110853,5623,188826,80.747,90.198,124.956,93.386
"Anchoa spp.",6,2380,0,10,0.005,1.937,0,0.005
"Archosargus probatocephalus",281,886,98,397,0.22,0.721,2.178,0.196
"Argopecten spp.",0,4,0,0,0,0.003,0,0
"Ariopsis felis",367,183,43,1499,0.287,0.149,0.956,0.741
"Astroscopus y-graecum",1,2,0,5,0.001,0.002,0,0.002
"Bagre marinus",3,2,1,18,0.002,0.002,0.022,0.009
"Bairdiella chrysoura",9668,16292,714,8239,7.559,13.256,15.867,4.075
"Bathygobius soporator",1,37,0,3,0.001,0.03,0,0.001
"Bathygobius spp.",0,2,0,0,0,0.002,0,0
"Brevoortia spp.",26,5,11,310,0.02,0.004,0.244,0.153
"Calamus arctifrons",5,6,0,4,0.004,0.005,0,0.002
"Callinectes ornatus",2,0,0,0,0.002,0,0,0
"Calamus penna",3,3,0,3,0.002,0.002,0,0.001
"Callinectes sapidus",377,368,36,687,0.295,0.299,0.8,0.34
"Callinectes similis",0,0,0,1,0,0,0,0
"Calamus spp.",9,26,1,5,0.007,0.021,0.022,0.002
"Callinectes spp.",1,0,0,1,0.001,0,0,0
"Caranx hippos",0,0,0,4,0,0,0,0.002
"Carcharhinus leucas",0,0,0,2,0,0,0,0.001
"Carcharhinus limbatus",0,0,0,1,0,0,0,0
"Centropristis striata",2,10,0,2,0.002,0.008,0,0.001
"Centropomus undecimalis",3,3,0,15,0.002,0.002,0,0.007
"Chaetodipterus faber",67,43,2,111,0.052,0.035,0.044,0.055
"Chasmodes saburrae",374,474,31,219,0.292,0.386,0.689,0.108
"Chilomycterus schoepfii",131,221,0,87,0.102,0.18,0,0.043
"Chloroscombrus chrysurus",40,31,0,47,0.031,0.025,0,0.023
"Citharichthys macrops",4,0,0,3,0.003,0,0,0.001
"Clupeidae spp.",3,0,0,1,0.002,0,0,0
"Ctenogobius boleosoma",0,2,0,0,0,0.002,0,0
"Ctenogobius smaragdus",0,2,0,2,0,0.002,0,0.001
"Cynoscion arenarius",46,17,0,221,0.036,0.014,0,0.109
"Cynoscion nebulosus",2376,2497,80,2398,1.858,2.032,1.778,1.186
"Cyprinodon variegatus",763,62,0,117,0.597,0.05,0,0.058
"Dactyloscopus moorei",2,3,0,10,0.002,0.002,0,0.005
"Dactyloscopidae spp.",1,0,0,0,0.001,0,0,0
"Hypanus americanus",0,1,0,0,0,0.001,0,0
"Hypanus sabinus",48,32,5,130,0.038,0.026,0.111,0.064
"Hypanus say",3,5,0,2,0.002,0.004,0,0.001
"Diapterus auratus",0,8,0,97,0,0.007,0,0.048
"Diapterus spp.",0,0,0,2,0,0,0,0.001
"Diplectrum formosum",1,2,0,1,0.001,0.002,0,0
"Diplodus holbrookii",63,331,0,31,0.049,0.269,0,0.015
"Dorosoma petenense",2,2,0,15,0.002,0.002,0,0.007
"Echeneis neucratoides",0,0,0,1,0,0,0,0
"Elops saurus",10,4,0,21,0.008,0.003,0,0.01
"Elops smithi",1,0,0,1,0.001,0,0,0
"Elopiformes spp.",0,0,0,2,0,0,0,0.001
"Etropus crossotus",2,0,0,1,0.002,0,0,0
"Eucinostomus argenteus",5,0,0,1,0.004,0,0,0
"Eucinostomus gula",4623,6581,75,4480,3.615,5.354,1.667,2.215
"Eucinostomus harengulus",929,443,9,1482,0.726,0.36,0.2,0.733
"Eucinostomus spp.",26422,32330,394,19943,20.658,26.306,8.756,9.863
"Eugerres plumieri",118,128,0,509,0.092,0.104,0,0.252
"Farfantepenaeus duorarum",4441,5932,325,4874,3.472,4.827,7.222,2.41
"Floridichthys carpio",1636,1137,3,964,1.279,0.925,0.067,0.477
"Fundulus confluentus",1,0,0,0,0.001,0,0,0
"Fundulus grandis",11,55,0,138,0.009,0.045,0,0.068
"Fundulus similis",13,11,0,101,0.01,0.009,0,0.05
"Gobiosoma bosc",8,10,0,69,0.006,0.008,0,0.034
"Gobiosoma longipala",1,2,0,3,0.001,0.002,0,0.001
"Gobiosoma robustum",953,1116,78,923,0.745,0.908,1.733,0.456
"Gobiesox strumosus",4,5,0,11,0.003,0.004,0,0.005
"Gobiosoma spp.",744,652,47,1264,0.581,0.53,1.044,0.625
"Gymnura lessae",0,0,0,2,0,0,0,0.001
"Haemulon aurolineatum",2,0,0,0,0.002,0,0,0
"Haemulon plumierii",47,282,0,50,0.037,0.229,0,0.025
"Harengula jaguana",19048,27836,40,11872,14.893,22.649,0.889,5.871
"Hemiramphus balao",0,0,0,1,0,0,0,0
"Hemiramphidae spp.",0,4,0,0,0,0.003,0,0
"Hemiramphus spp.",0,1,0,0,0,0.001,0,0
"Hippocampus erectus",30,18,1,35,0.023,0.015,0.022,0.017
"Hippocampus zosterae",107,299,15,68,0.084,0.243,0.333,0.034
"Hippocampus spp.",1,1,0,0,0.001,0.001,0,0
"Hypsoblennius hentz",12,24,0,13,0.009,0.02,0,0.006
"Hyporhamphus meeki",83,183,0,233,0.065,0.149,0,0.115
"Hyporhamphus unifasciatus",1,13,0,0,0.001,0.011,0,0
"Hyporhamphus spp.",21,81,0,99,0.016,0.066,0,0.049
"Lactophrys spp.",4,2,0,1,0.003,0.002,0,0
"Lagodon rhomboides",40622,103765,437,13063,31.761,84.43,9.711,6.46
"Leiostomus xanthurus",6996,6450,0,10320,5.47,5.248,0,5.104
"Lepisosteus osseus",0,0,0,1,0,0,0,0
"Limulus polyphemus",24,20,0,63,0.019,0.016,0,0.031
"Lophogobius cyprinoides",0,15,0,8,0,0.012,0,0.004
"Lucania parva",22602,31801,850,6749,17.672,25.876,18.889,3.338
"Lutjanus analis",1,0,0,0,0.001,0,0,0
"Lutjanus griseus",82,172,0,50,0.064,0.14,0,0.025
"Lutjanus synagris",87,127,0,51,0.068,0.103,0,0.025
"Membras martinica",195,62,1,1525,0.152,0.05,0.022,0.754
"Menticirrhus americanus",217,32,6,611,0.17,0.026,0.133,0.302
"Menticirrhus saxatilis",46,17,0,96,0.036,0.014,0,0.047
"Menidia spp.",12773,7146,71,12379,9.987,5.814,1.578,6.122
"Menippe spp.",2,10,0,6,0.002,0.008,0,0.003
"Menticirrhus spp.",5,1,0,11,0.004,0.001,0,0.005
"Microgobius gulosus",9709,8153,473,15916,7.591,6.634,10.511,7.871
"Microgobius thalassinus",15,0,1,18,0.012,0,0.022,0.009
"Micropogonias undulatus",0,0,0,1,0,0,0,0
"Monacanthus ciliatus",1,6,0,0,0.001,0.005,0,0
"Mugil cephalus",104,141,1,1977,0.081,0.115,0.022,0.978
"Mugil curema",35,2,0,4,0.027,0.002,0,0.002
"Mugil trichodon",4,9,1,21,0.003,0.007,0.022,0.01
"Mugil spp.",0,0,0,6,0,0,0,0.003
"Mycteroperca microlepis",2,16,0,0,0.002,0.013,0,0
"Myrophis punctatus",1,1,0,1,0.001,0.001,0,0
"Nicholsina usta",11,60,0,5,0.009,0.049,0,0.002
"Ogcocephalus cubifrons",0,0,0,1,0,0,0,0
"Oligoplites saurus",381,296,18,622,0.298,0.241,0.4,0.308
"Opisthonema oglinum",1187,1930,62,1192,0.928,1.57,1.378,0.59
"Opsanus beta",13,40,3,17,0.01,0.033,0.067,0.008
"Oreochromis aureus",0,1,0,0,0,0.001,0,0
"Oreochromis/Sarotherodon spp.",158,27,5,9,0.124,0.022,0.111,0.004
"Orthopristis chrysoptera",4879,8750,18,2513,3.815,7.12,0.4,1.243
"Ostraciidae spp.",2,2,0,1,0.002,0.002,0,0
"Paralichthys albigutta",160,97,2,176,0.125,0.079,0.044,0.087
"Paraclinus marmoratus",2,2,0,0,0.002,0.002,0,0
"Penaeidae spp.",0,2,0,0,0,0.002,0,0
"Peprilus paru",0,0,0,1,0,0,0,0
"Poecilia latipinna",9,5,0,2,0.007,0.004,0,0.001
"Pogonias cromis",2,2,0,11,0.002,0.002,0,0.005
"Pomatomus saltatrix",0,2,0,1,0,0.002,0,0
"Portunus spp.",59,17,5,34,0.046,0.014,0.111,0.017
"Prionotus scitulus",220,78,5,403,0.172,0.063,0.111,0.199
"Prionotus tribulus",35,38,4,91,0.027,0.031,0.089,0.045
"Rhinoptera bonasus",13,11,0,77,0.01,0.009,0,0.038
"Rimapenaeus constrictus",5,3,0,16,0.004,0.002,0,0.008
"Rimapenaeus spp.",0,0,0,1,0,0,0,0
"Sardinella aurita",810,13023,0,489,0.633,10.596,0,0.242
"Sarotherodon melanotheron",0,11,8,2,0,0.009,0.178,0.001
"Sciaenops ocellatus",913,607,41,714,0.714,0.494,0.911,0.353
"Sciaenidae spp.",0,0,0,576,0,0,0,0.285
"Scorpaena brasiliensis",1,0,0,0,0.001,0,0,0
"Scomberomorus maculatus",1,3,0,1,0.001,0.002,0,0
"Selene vomer",3,3,0,4,0.002,0.002,0,0.002
"Sphyraena barracuda",2,0,0,1,0.002,0,0,0
"Sphyraena borealis",10,22,0,3,0.008,0.018,0,0.001
"Sphoeroides nephelus",455,514,12,586,0.356,0.418,0.267,0.29
"Sphoeroides spengleri",2,1,0,2,0.002,0.001,0,0.001
"Sphyrna tiburo",3,3,0,1,0.002,0.002,0,0
"Sphoeroides spp.",0,0,0,1,0,0,0,0
"Stephanolepis hispida",159,377,0,115,0.124,0.307,0,0.057
"Stephanolepis setifer",0,1,0,0,0,0.001,0,0
"Strongylura marina",12,22,1,62,0.009,0.018,0.022,0.031
"Strongylura notata",433,228,0,388,0.339,0.186,0,0.192
"Strongylura timucu",4,2,0,6,0.003,0.002,0,0.003
"Strongylura spp.",14,9,3,5,0.011,0.007,0.067,0.002
"Symphurus plagiusa",156,53,3,193,0.122,0.043,0.067,0.095
"Syngnathus floridae",200,645,0,91,0.156,0.525,0,0.045
"Synodus foetens",796,525,16,1105,0.622,0.427,0.356,0.546
"Syngnathus louisianae",460,535,20,454,0.36,0.435,0.444,0.225
"Syngnathus scovelli",1905,3207,248,1664,1.489,2.609,5.511,0.823
"Syngnathidae spp.",1,5,5,6,0.001,0.004,0.111,0.003
"Synodontidae spp.",1,0,0,0,0.001,0,0,0
"Trachinotus carolinus",0,0,0,3,0,0,0,0.001
"Trachinotus falcatus",3,0,0,3,0.002,0,0,0.001
"Trinectes maculatus",43,2,0,83,0.034,0.002,0,0.041
"Tylosurus crocodilus",2,0,0,0,0.002,0,0,0
"Urophycis floridana",0,7,0,7,0,0.006,0,0.003
